"","CODIGO","Frutos","Productividad","IFW","date","Treatment","Island","Species","HMAX"
"154",6095,32,3.272,0.10225,2017-09-22,"Control","Santa Cruz","Capsicum annuum",254
"155",6096,40,4.147,0.103675,2017-09-22,"Control","Santa Cruz","Capsicum annuum",255
"156",6097,45,4.365,0.097,2017-09-22,"Control","Santa Cruz","Capsicum annuum",247
"157",6098,34,4.233,0.1245,2017-10-13,"Control","Santa Cruz","Capsicum annuum",130
"158",6099,34,3.968,0.116705882352941,2017-10-13,"Control","Santa Cruz","Capsicum annuum",266
"159",6100,49,5.219,0.106510204081633,2017-10-13,"Control","Santa Cruz","Capsicum annuum",265
"160",6101,44,5.02,0.114090909090909,2017-10-13,"Control","Santa Cruz","Capsicum annuum",265
"161",6103,37,4.186,0.113135135135135,2017-09-22,"Control","Santa Cruz","Capsicum annuum",265
"162",6104,48,5.935,0.123645833333333,2017-10-13,"Control","Santa Cruz","Capsicum annuum",280
"163",6109,6,0.747,0.1245,2017-07-07,"Groasis","Santa Cruz","Capsicum annuum",3
"164",6110,6,0.614,0.102333333333333,2017-06-16,"Groasis","Santa Cruz","Capsicum annuum",100
"165",6111,6,0.816,0.136,2017-07-07,"Groasis","Santa Cruz","Capsicum annuum",65
"166",6115,6,0.585,0.0975,2017-05-24,"Groasis","Santa Cruz","Capsicum annuum",4
"167",6116,5,0.492,0.0984,2017-06-16,"Groasis","Santa Cruz","Capsicum annuum",100
"168",6136,10,1.108,0.1108,2017-06-16,"Control","Santa Cruz","Capsicum annuum",80
"169",6141,3,0.29,0.0966666666666667,2017-05-24,"Control","Santa Cruz","Capsicum annuum",208
"170",7070,35,5.065,0.144714285714286,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",300
"171",7071,19,3.674,0.193368421052632,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",302
"172",7072,28,3.965,0.141607142857143,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",340
"173",7073,27,3.743,0.13862962962963,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",332
"174",7074,26,3.592,0.138153846153846,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",322
"175",7075,11,1.411,0.128272727272727,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",320
"176",7076,29,4.966,0.171241379310345,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",345
"177",7077,14,2.008,0.143428571428571,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",338
"178",7078,12,2.666,0.222166666666667,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",348
"179",7079,17,2.709,0.159352941176471,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",345
"180",7080,13,2.412,0.185538461538462,2018-01-29,"Groasis","Santa Cruz","Solanum lycopersicum",312
"181",7081,18,3.445,0.191388888888889,2018-02-15,"Groasis","Santa Cruz","Solanum lycopersicum",257
"182",7082,15,3.096,0.2064,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",318
"183",7083,27,3.773,0.139740740740741,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",327
"184",7084,19,3.37,0.177368421052632,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",334
"185",7085,17,2.84,0.167058823529412,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",333.5
"186",7086,20,3.403,0.17015,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",346
"187",7087,22,3.424,0.155636363636364,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",370
"188",7088,30,5.162,0.172066666666667,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",329
"189",7089,16,2.987,0.1866875,2018-02-15,"Groasis","Santa Cruz","Solanum lycopersicum",364
"190",7090,24,3.531,0.147125,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",370
"191",7091,17,3.227,0.189823529411765,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",303
"192",7092,17,3.231,0.190058823529412,2018-12-02,"Groasis","Santa Cruz","Solanum lycopersicum",335
"193",7093,23,4.035,0.175434782608696,2018-09-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",320
"194",7093,23,4.035,0.175434782608696,2018-09-02,"Groasis","Santa Cruz","Solanum lycopersicum",320
"195",7094,20,3.671,0.18355,2018-02-15,"Hidrogel","Santa Cruz","Solanum lycopersicum",276
"196",7095,16,2.393,0.1495625,2018-12-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",328
"197",7096,27,4.714,0.174592592592593,2018-09-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",280
"198",7097,23,4.218,0.183391304347826,2018-12-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",352
"199",7097,23,4.218,0.183391304347826,2018-12-02,"Control","Santa Cruz","Solanum lycopersicum",352
"200",7098,23,3.696,0.160695652173913,2018-12-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",326
"201",7099,27,3.996,0.148,2018-09-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",328
"202",7100,19,3.352,0.176421052631579,2018-12-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",342
"203",7101,29,4.503,0.155275862068966,2018-12-02,"Hidrogel","Santa Cruz","Solanum lycopersicum",349
